Passport,CityTier,MonthlyIncome,Age,PreferredPropertyStar,NumberOfFollowups,NumberOfPersonVisiting,NumberOfChildrenVisiting,Chance,Designation_Executive,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single,MaritalStatus_Unmarried,Occupation_Free Lancer,Occupation_Large Business,Occupation_Salaried,Occupation_Small Business,ProductPitched_Basic
1,1,17090.0,37.0,3.0,4.0,3,0.0,0,1,0,0,1,0,1,0,0,0,1
1,1,17909.0,33.0,3.0,3.0,2,1.0,0,1,1,0,0,0,0,0,1,0,1
0,1,18468.0,38.0,4.0,3.0,2,0.0,0,1,1,0,0,0,0,0,0,1,1
0,1,18068.0,32.0,3.0,3.0,3,1.0,0,1,0,0,1,0,0,0,1,0,1
1,1,17670.0,59.0,5.0,2.0,2,1.0,0,1,1,0,0,0,0,0,0,1,1
0,1,17693.0,30.0,3.0,3.0,3,1.0,0,1,0,1,0,0,0,0,1,0,1
0,1,17426.0,35.0,4.0,2.0,2,1.0,0,1,1,0,0,0,0,0,0,1,1
0,1,17911.0,31.0,3.0,3.0,2,1.0,0,1,0,1,0,0,0,0,1,0,1
0,1,17661.0,34.0,3.0,3.0,3,2.0,0,1,0,1,0,0,0,0,0,1,1
1,1,17028.0,28.0,3.0,4.0,2,0.0,0,1,0,0,1,0,0,0,1,0,1
1,1,18298.0,32.0,4.0,2.0,3,0.0,0,1,0,1,0,0,0,0,1,0,1
1,1,17935.0,22.0,3.0,2.0,3,0.0,0,1,0,1,0,0,0,0,0,1,1
1,1,23620.0,38.0,3.0,3.0,2,1.0,0,1,0,0,1,0,0,0,1,0,1
0,1,16232.0,21.0,3.0,3.0,3,1.0,0,1,0,0,1,0,0,0,1,0,1
0,1,17960.0,34.0,5.0,3.0,2,1.0,0,1,0,0,1,0,0,0,0,1,1
1,1,23620.0,38.0,5.0,5.0,3,2.0,0,1,0,0,1,0,0,0,1,0,1
0,1,17496.0,33.0,3.0,3.0,3,2.0,0,1,0,0,1,0,0,0,0,1,1
0,1,17206.0,30.0,3.0,4.0,2,1.0,0,1,0,0,1,0,0,0,0,1,1
1,1,17293.0,24.0,3.0,3.0,3,2.0,0,1,1,0,0,0,0,0,0,1,1
0,1,17645.0,43.0,3.0,2.0,3,1.0,0,1,0,1,0,0,0,0,0,1,1
1,3,17683.0,50.0,3.0,4.0,2,0.0,0,1,1,0,0,0,0,0,0,1,1
0,3,17014.0,35.0,3.0,3.0,3,0.0,0,1,1,0,0,0,0,0,0,1,1
1,1,95000.0,36.0,3.0,4.0,2,0.0,0,1,1,0,0,0,0,0,1,0,1
0,1,16951.0,35.0,3.0,3.0,3,0.0,0,1,0,1,0,0,0,0,1,0,1
0,1,17341.0,27.0,5.0,3.0,2,1.0,1,1,0,1,0,0,0,0,1,0,1
0,1,17293.0,26.0,3.0,5.0,2,1.0,0,1,0,0,1,0,0,0,1,0,1
0,1,18022.0,37.0,4.0,3.0,3,1.0,0,1,1,0,0,0,0,0,1,0,1
0,1,17269.0,35.0,3.0,2.0,2,1.0,0,1,1,0,0,0,0,0,1,0,1
1,1,18441.0,38.0,3.0,3.0,2,0.0,0,1,0,0,1,0,0,1,0,0,1
1,1,23620.0,38.0,5.0,3.0,1,0.0,0,1,1,0,0,0,0,0,0,1,1
0,1,17194.0,35.0,5.0,3.0,3,1.0,0,1,1,0,0,0,0,0,0,1,1
1,1,18388.0,38.0,3.0,4.0,3,1.0,0,1,1,0,0,0,0,0,0,1,1
0,1,17703.0,29.0,4.0,3.0,3,0.0,0,1,1,0,0,0,0,0,1,0,1
0,1,17501.0,31.0,4.0,3.0,2,0.0,0,1,0,0,1,0,0,0,0,1,1
0,1,17859.0,35.0,3.0,4.0,1,0.0,0,1,0,0,1,0,0,0,0,1,1
0,3,17322.0,23.0,5.0,3.0,3,1.0,1,1,0,1,0,0,0,1,0,0,1
0,1,17075.0,51.0,3.0,3.0,3,0.0,0,1,1,0,0,0,0,0,1,0,1
1,2,17073.0,37.0,5.0,3.0,3,0.0,0,1,0,1,0,0,0,0,1,0,1
0,1,17956.0,32.0,5.0,3.0,3,2.0,0,1,0,0,1,0,0,0,1,0,1
1,1,17926.0,20.0,3.0,4.0,3,1.0,0,1,0,0,1,0,0,0,1,0,1
