ProdTaken,Age,DurationOfPitch,NumberOfPersonVisiting,NumberOfFollowups,PreferredPropertyStar,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,MonthlyIncome,Chance,Designation_Executive,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single,MaritalStatus_Unmarried,Occupation_Free Lancer,Occupation_Large Business,Occupation_Salaried,Occupation_Small Business,ProductPitched_Basic,TypeofContact_Company Invited,TypeofContact_Self Enquiry,Gender_Fe Male,Gender_Female,Gender_Male,CityTier_1,CityTier_2,CityTier_3
1,37.0,8.0,3,4.0,3.0,7.0,1,3,0,0.0,17090.0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0
0,33.0,9.0,2,3.0,3.0,2.0,1,5,1,1.0,17909.0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0
0,38.0,8.0,2,3.0,4.0,1.0,0,5,1,0.0,18468.0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0
0,32.0,8.0,3,3.0,3.0,1.0,0,5,1,1.0,18068.0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0
0,59.0,9.0,2,2.0,5.0,5.0,1,2,1,1.0,17670.0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0
0,30.0,30.0,3,3.0,3.0,2.0,0,2,0,1.0,17693.0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0
0,35.0,22.0,2,2.0,4.0,1.0,0,3,1,1.0,17426.0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0
0,31.0,32.0,2,3.0,3.0,2.0,0,3,0,1.0,17911.0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0
0,34.0,25.0,3,3.0,3.0,1.0,0,3,0,2.0,17661.0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0
1,28.0,30.0,2,4.0,3.0,6.0,1,2,0,0.0,17028.0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,0
0,32.0,11.0,3,2.0,4.0,1.0,1,2,1,0.0,18298.0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0
0,22.0,22.0,3,2.0,3.0,2.0,1,3,0,0.0,17935.0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0
0,38.0,8.0,2,3.0,3.0,6.0,1,4,0,1.0,23620.0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,0
0,21.0,21.0,3,3.0,3.0,2.0,0,3,1,1.0,16232.0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,0
1,34.0,12.0,2,3.0,5.0,3.0,0,2,1,1.0,17960.0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0
1,38.0,22.0,3,5.0,5.0,2.0,1,4,1,2.0,23620.0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,0
0,33.0,8.0,3,3.0,3.0,5.0,0,3,1,2.0,17496.0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0
0,30.0,15.0,2,4.0,3.0,2.0,0,4,1,1.0,17206.0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0
1,24.0,6.0,3,3.0,3.0,3.0,1,3,1,2.0,17293.0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0
0,43.0,8.0,3,2.0,3.0,2.0,0,2,0,1.0,17645.0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0
1,50.0,9.0,2,4.0,3.0,2.0,1,4,0,0.0,17683.0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1
0,35.0,8.0,3,3.0,3.0,2.0,0,2,1,0.0,17014.0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1
0,36.0,11.0,2,4.0,3.0,1.0,1,2,1,0.0,95000.0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0
0,35.0,10.0,3,3.0,3.0,2.0,0,4,0,0.0,16951.0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0
0,27.0,8.0,2,3.0,5.0,2.0,0,3,0,1.0,17341.0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0
1,26.0,31.0,2,5.0,3.0,2.0,0,2,1,1.0,17293.0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,0
0,37.0,25.0,3,3.0,4.0,5.0,0,4,1,1.0,18022.0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0
0,35.0,14.0,2,2.0,3.0,2.0,0,5,1,1.0,17269.0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0
1,38.0,11.0,2,3.0,3.0,2.0,1,2,1,0.0,18441.0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0
0,38.0,29.0,1,3.0,5.0,4.0,1,4,1,0.0,23620.0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0
0,35.0,6.0,3,3.0,5.0,5.0,0,2,0,1.0,17194.0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0
1,38.0,15.0,3,4.0,3.0,1.0,1,2,0,1.0,18388.0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0
0,29.0,8.0,3,3.0,4.0,1.0,0,4,0,0.0,17703.0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0
0,31.0,6.0,2,3.0,4.0,2.0,0,3,0,0.0,17501.0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0
